no_saida,no_entrada,betweenness
0,1972,5.3314057150724825e-05
0,5111,4.243081868666558e-06
0,138,5.249973678813214e-06
0,3053,3.453463105278625e-06
0,1473,5.428522491523721e-06
0,4978,2.090853434460663e-06
0,4523,3.1980337083099235e-05
0,2334,1.2616544480382942e-06
0,1038,4.484015716565202e-06
0,3923,7.507885839662603e-05
0,3874,2.4390072796572274e-06
0,766,2.1360275601678226e-06
0,98,6.190614596340697e-05
0,2676,1.3647135032743296e-06
0,1547,1.2587934294428135e-06
0,3622,1.518969716471029e-05
0,5292,2.169267440723381e-06
0,5455,1.3846640216915356e-06
0,2755,2.251016990327613e-06
0,568,7.673504583562348e-05
0,1849,9.281663409911178e-06
0,980,1.3055312943495547e-06
0,1578,3.820655643905926e-06
0,4674,5.81752841704873e-05
0,876,3.2150090598262655e-06
0,3842,5.24524549355472e-06
0,5866,2.3324441182987714e-06
0,3883,2.4018655674301673e-06
0,2524,3.4718624009594547e-06
0,961,2.707163210637138e-06
0,5154,6.553405252840766e-07
0,3372,5.347312916897768e-06
0,2639,4.055034007882645e-06
0,3099,7.768399794965437e-05
0,2852,3.6554588814764795e-06
0,1909,1.1880136946201313e-05
0,4537,3.5199037270136394e-06
0,1676,9.848788864338371e-06
0,4924,9.893568319892648e-07
0,724,1.8099048733958283e-05
0,5855,6.14261928672705e-05
0,4157,4.994908614071958e-06
0,2051,2.339580949940649e-06
0,4630,2.4635969310410053e-06
1972,98,5.5893826284458974e-05
1972,138,0.0001468704717805409
1972,480,3.779227932591148e-05
1972,3087,3.312135129274907e-05
1972,688,0.000285725586587572
1972,724,3.653905433155699e-05
1972,766,3.991540546879577e-05
1972,848,7.142293362372098e-05
1972,876,3.441540320777685e-05
1972,961,3.2633806909258206e-05
1972,980,4.229655105369934e-05
1972,1038,0.00011706095269040834
1972,1067,5.8478625291811085e-05
1972,5111,4.5742318596596266e-05
1972,3665,3.959287675461549e-05
1972,3377,2.3418751351692477e-05
1972,3053,8.683256116258986e-05
1972,4033,6.452721861379914e-05
1972,2524,3.9583226203007867e-05
1972,253,7.25113452393633e-05
1972,4978,6.826616352826934e-05
1972,4523,0.0001798186739397602
1972,2334,5.347162570028279e-05
1972,4185,2.7999072102044e-05
1972,3874,8.391658866213847e-05
1972,2676,5.747496051642053e-05
1972,2998,5.897440428503864e-05
1972,3622,6.884988735141211e-05
1972,5292,8.429695106371428e-05
1972,3489,2.2175718617801255e-05
1972,5455,6.630883407034751e-05
1972,2755,8.122985405267933e-05
1972,1578,0.00013669008383206414
1972,2569,6.632351354293623e-05
1972,2639,3.380095051567664e-05
1972,3842,0.00014701369102918278
1972,1473,0.0001048036758938014
1972,5866,8.524435801734156e-05
1972,3883,3.5797517291821116e-05
1972,5154,4.9781937785988204e-05
1972,2759,3.2552171192197634e-05
1972,5800,0.0019313004869997072
1972,3372,0.00015132238502470145
1972,5566,4.8523658781467416e-05
1972,4157,0.0001517649928127144
1972,4674,0.00010020781524362772
1972,2900,0.0016196970182801728
1972,2852,7.47102743950458e-05
1972,4537,3.514638736559264e-05
1972,1547,7.060879856461421e-05
1972,3099,7.747375667433919e-05
1972,4924,4.2754327747438785e-05
1972,5855,7.795929274285629e-05
1972,4253,7.983396787485282e-05
1972,2051,9.489521250742392e-05
1972,4630,6.112084487870453e-05
5111,98,4.912375416528275e-05
5111,121,1.0684981180667737e-06
5111,3087,7.631639916771131e-06
5111,724,1.056622643503802e-05
5111,848,9.888519871063915e-07
5111,1067,1.1831926540743588e-05
5111,1178,4.552407716668619e-06
5111,1632,2.1568474396906968e-05
5111,1796,3.111509429954749e-05
